Based on Wunderground station:,,,https://www.wunderground.com/weather/ILITTL159,,,,,,
,,,,,,,,,
Coastal Climate Team,,Black Duck Cove,,,,,,,
Monitor name:,,Camilo Botero,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
12:00 AM,-13 °C,-16 °C,79 %,S,4 km/h,0 km/h,"1,018.22 hPa",0.0 mm,Partly Cloudy
12:52 AM,-13 °C,-16 °C,79 %,SSE,13 km/h,0 km/h,"1,018.22 hPa",0.0 mm,Light Snow Shower
1:00 AM,-13 °C,-16 °C,79 %,SE,11 km/h,0 km/h,"1,018.22 hPa",0.0 mm,Light Snow Shower
2:00 AM,-13 °C,-15 °C,85 %,VAR,4 km/h,0 km/h,"1,018.22 hPa",0.0 mm,Partly Cloudy
3:00 AM,-15 °C,-16 °C,92 %,CALM,0 km/h,0 km/h,"1,018.55 hPa",0.0 mm,Fair
4:00 AM,-13 °C,-15 °C,85 %,SSE,11 km/h,0 km/h,"1,018.22 hPa",0.0 mm,Fair
5:00 AM,-13 °C,-15 °C,85 %,SE,9 km/h,0 km/h,"1,018.55 hPa",0.0 mm,Partly Cloudy
6:00 AM,-12 °C,-14 °C,85 %,SSE,11 km/h,0 km/h,"1,019.22 hPa",0.0 mm,Mostly Cloudy
7:00 AM,-12 °C,-14 °C,85 %,S,9 km/h,0 km/h,"1,019.56 hPa",0.0 mm,Mostly Cloudy
8:00 AM,-11 °C,-14 °C,79 %,SSE,9 km/h,0 km/h,"1,019.56 hPa",0.0 mm,Mostly Cloudy
9:00 AM,-10 °C,-13 °C,79 %,SW,6 km/h,0 km/h,"1,019.90 hPa",0.0 mm,Mostly Cloudy
10:00 AM,-9 °C,-13 °C,73 %,W,13 km/h,0 km/h,"1,019.90 hPa",0.0 mm,Mostly Cloudy
11:00 AM,-9 °C,-15 °C,62 %,W,15 km/h,33 km/h,"1,019.56 hPa",0.0 mm,Mostly Cloudy
12:00 PM,-7 °C,-15 °C,54 %,WNW,22 km/h,35 km/h,"1,018.89 hPa",0.0 mm,Mostly Cloudy
1:00 PM,-7 °C,-18 °C,42 %,WNW,20 km/h,31 km/h,"1,017.88 hPa",0.0 mm,Fair
2:00 PM,-7 °C,-18 °C,42 %,WNW,11 km/h,0 km/h,"1,016.87 hPa",0.0 mm,Partly Cloudy
3:00 PM,-7 °C,-18 °C,42 %,W,15 km/h,0 km/h,"1,016.87 hPa",0.0 mm,Mostly Cloudy
