Beach,CSES,CSES Label,Park,Region,Type,Access type,Beach colour,Beach width,Built environment,Cliff height,Cliff slope,Cliff special features,Coastal landscape features,D Value,Dunes,Latitude,Litter,Longitude,Noise disturbance,Non-built environment,Rocky shore extent,Rocky shore roughness,Rocky shore slope,Sewage discharge evidence,Skyline,Skyline landform,Tides,Type of sediment,Utilities,Valleys,Vegetation cover,Vegetation debris,Vistas,Water colour and clarity
Little Judique,Class III,Class III,N/A,Cape Breton,Rural,4,5,4,4,3,4,3,4,0.62,4,45.9595053,5,-61.5270829,5,5,1,1,1,5,5,3,5,5,2,1,5,3,1,3
Port Hood - Boardwalk,Class III,Class III,Provincial park,Cape Breton,Village,4,5,4,3,1,1,1,4,0.44,5,46.0022339,4,-61.5347466,4,5,1,1,1,5,3,3,5,5,1,1,4,4,2,3
Lawrence,Class II,Class II,Provincial park,Cape Breton,Village,4,5,3,4,2,2,3,4,0.65,5,45.9984075,5,-61.5382279,5,5,1,1,1,5,4,3,5,5,3,1,4,4,2,3
West Mabou,Class III,Class III,Provincial park,Cape Breton,Rural,5,4,5,4,2,3,5,3,0.63,5,46.0804688,4,-61.4804858,5,5,1,1,1,5,5,3,5,5,2,4,5,4,2,3
MacLeod,Class II,Class II,N/A,Cape Breton,Rural,4,5,5,3,3,4,4,4,0.66,4,46.3115565,4,-61.2440523,5,5,3,3,5,5,3,3,5,5,3,4,5,4,1,3
Inverness,Class IV,Class IV,N/A,Cape Breton,Village,5,5,5,4,2,3,3,3,0.33,4,46.2334254,3,-61.3151693,4,5,1,1,1,5,4,3,5,5,3,1,2,4,2,3
Margaree Harbour,Class IV,Class IV,N/A,Cape Breton,Village,5,4,3,3,2,3,3,3,0.39,4,46.4396762,3,-61.1151963,5,5,4,3,5,3,5,4,5,5,1,3,4,3,1,3
St. Pierre,Class IV,Class IV,N/A,Cape Breton,Village,2,4,3,3,1,1,1,3,0.08,3,46.6026447,4,-61.0356719,4,5,1,1,1,5,3,4,5,5,1,1,1,3,2,3
Petit Etang,Class II,Class II,N/A,Cape Breton,Rural,4,3,4,4,3,4,4,2,0.65,2,46.6685213,5,-60.9660261,5,5,1,1,1,5,4,4,5,4,5,1,5,3,2,3
Pillar Rocks,Class II,Class II,National park,Cape Breton,Rural,4,3,3,5,3,4,5,4,0.78,3,46.6858467,4,-60.9600275,4,5,3,3,3,5,5,4,5,5,4,1,5,2,1,3
Le Bloc,Class II,Class II,National park,Cape Breton,Rural,4,3,3,5,3,2,3,4,0.67,1,46.7031072,5,-60.9471951,5,5,1,1,1,5,5,4,5,3,4,1,5,2,2,3
Le Bloc South,Class III,Class III,National park,Cape Breton,Rural,2,3,3,5,2,3,5,4,0.57,3,46.6937578,5,-60.9551929,4,5,1,1,1,5,5,4,5,5,4,1,5,2,2,3
Fishing Cove,Class I,Class I,National park,Cape Breton,Remote,5,3,4,5,3,3,5,3,0.94,1,46.7962868,5,-60.8765638,5,5,3,4,4,5,5,4,5,3,3,5,5,3,1,4
Pleasant Bay,Class III,Class III,N/A,Cape Breton,Village,4,3,4,3,2,4,3,3,0.49,3,46.8303073,4,-60.800951,4,5,3,3,3,5,5,4,5,3,1,1,5,3,2,3
Phantom Point,Class II,Class II,N/A,Cape Breton,Remote,5,4,4,5,2,3,5,3,0.69,1,47.0376422,4,-60.6033969,5,5,5,5,5,5,5,3,5,3,5,1,2,3,1,4
Meat Cove,Class II,Class II,N/A,Cape Breton,Rural,4,3,4,4,3,3,5,3,0.79,1,47.0255096,4,-60.5566233,5,5,5,4,4,5,5,4,5,4,3,4,5,3,1,3
Capstick,Class II,Class II,N/A,Cape Breton,Rural,4,3,3,4,3,5,5,4,0.75,1,47.0021922,5,-60.5108143,4,5,3,3,3,5,5,4,5,3,3,4,5,3,2,3
Dingwall,Class III,Class III,N/A,Cape Breton,Rural,4,4,4,3,1,1,1,4,0.48,4,46.9079498,4,-60.4547198,4,5,1,1,1,5,5,4,5,5,3,1,2,4,2,3
Cabot Landing,Class III,Class III,Provincial park,Cape Breton,Rural,5,4,4,3,3,5,5,4,0.4,2,46.9427921,3,-60.4619539,5,5,1,1,1,3,5,4,5,5,2,4,5,3,2,3
White Point Village,Class III,Class III,N/A,Cape Breton,Village,4,5,4,3,2,3,4,3,0.47,2,46.8742201,4,-60.3529817,4,5,2,2,5,5,3,4,5,5,1,3,4,4,1,3
Black Brook,Class III,Class III,National park,Cape Breton,Rural,4,4,3,5,2,5,4,2,0.54,1,46.7755203,5,-60.3328934,4,5,5,4,5,5,5,3,5,3,1,4,5,3,1,3
